HHID,Migration,Internal migration,International migration,Age (HH head),Female (HH head),Secondary education (HH head),HH size,Ethnic minority,Sex ratio,Married females,Married males,ln(savings + 1),Nonfarm income,Temp. anomaly (+),Temp. anomaly (-),Prec. anomaly (+),Prec. anomaly (-),zone,region,kebele
10390723,1,1,0,36.0,0.0,1.0,8.0,0,0.5,0.25,0.25,7.378383712996714,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
10404111,1,1,0,39.0,0.0,1.0,10.0,0,0.3,0.3333333333333333,0.1428571428571428,0.0,1.0,12.227367040390092,-7.4383798478822705,-2.206288079046452,0.7659950920900087,East Shewa,Oromia,411.0
10450124,2,0,2,50.0,1.0,0.0,4.0,0,0.5,0.0,0.0,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
10460111,0,0,0,70.0,1.0,0.0,1.0,0,1.0,1.0,0.0,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
10470111,2,2,0,70.0,0.0,1.0,7.0,0,0.2857142857142857,0.5,0.4,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
10490124,0,1,2,65.0,0.0,1.0,8.0,0,0.5,0.25,0.25,5.707110264748875,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
10520724,0,0,0,65.0,1.0,0.0,3.0,0,0.3333333333333333,1.0,0.0,4.31748811353631,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
10560724,2,2,0,60.0,0.0,0.0,9.0,0,0.5555555555555556,0.4,0.25,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
10610723,2,2,0,50.0,0.0,0.0,9.0,0,0.4444444444444444,0.5,0.2,6.90875477931522,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
10640124,2,0,2,42.0,1.0,0.0,4.0,0,0.5,0.0,0.0,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
10730124,2,0,2,49.0,0.0,0.0,9.0,0,0.6666666666666666,0.1666666666666666,0.6666666666666666,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
